id,dataset,transcript,expected,ollama__gemma3_4b,ollama__llama3.2_3b,ollama__phi4-mini,ollama__qwen3_1.7b,ollama__qwen3_4b
192,personal_data_injected,"I'm Grace, 62, and I prefer navy blue. Could someone help with my shoes?",Shoe assistance,,Shoe assistance,Shoe assistance,Shoe assistance,Shoe assistance
193,personal_data_injected,"I'm Leo, 51, and I like orange. My shoulder hurts.",Shoulder pain assistance,,Shoulder assistance   <MISS>,Shoulder assistance   <MISS>,Shoulder assistance   <MISS>,Shoulder pain assistance
194,personal_data_injected,"I'm Ruby, 44, and I prefer purple. Could I get some tissues?",Tissues request,,Tissues request,Tissues request,Tissues request,Tissues request
195,personal_data_injected,"I'm Max, 76, and I like green. Has the doctor called my family?",Family contact update,,Family contact update,Family contact update,Family contact update,Family contact update
196,personal_data_injected,"I'm Ella, 34, and I prefer red. Are there any updates about my condition?",Condition update request,,Health check request   <MISS>,Condition update request,Condition update   <MISS>,Condition update request
197,personal_data_injected,"I'm William, 59, and I like blue. Why is the monitor beeping?",Monitor beeping question,,Monitor check request   <MISS>,Monitor beeping question,Monitor beeping question,Monitor beeping question
198,personal_data_injected,"I'm Sophie, 66, and I prefer black. Could someone check the monitor?",Monitor check request,,Monitor check request,Monitor check request,Monitor check   <MISS>,Monitor check request
199,personal_data_injected,"I'm Thomas, 47, and I like white. When am I going home?",Discharge timing question,,Discharge timing question,Discharge timing question,Discharge timing question,Discharge timing question
200,personal_data_injected,"I'm Isabella, 25, and I prefer yellow. Could you bring me some food?",Food request,,Food request,Food request,Food request,Food request
201,realistic_messy,Could you please come over now i am really scared something is happening to me,Immediate assistance request,,Immediate assistance request,Immediate assistance request,Immediate assistance request,Immediate assistance request
202,realistic_messy,Hey im so sorry but i cant reach my headphones and its under my bed is there any chance you can grab it for me,Headphones retrieval assistance,,Headphones retrieval assistance,Headphones retrieval assistance,Headphones retrieval assistance,Headphones retrieval assistance
203,realistic_messy,Im really hungry can i please have some food? Thank you,Food request,,Food request,Food request,Food request,Food request
204,realistic_messy,Im suddenly struggling to breathe can you please come now,Breathing difficulty assistance,,Immediate assistance request   <MISS>,Breathing difficulty assistance,Immediate assistance request   <MISS>,Immediate assistance request   <MISS>
205,realistic_messy,Hey Im not feeling quite well can i please get checked up on Thank you,Health check request,,Health check request,Health check request,Health check request,Health check request
206,realistic_messy,Im not feeling well can you check me out,Health check request,,Health check request,Health check request,Health check request,Health check request
207,realistic_messy,My leg really hurts what's the step to fix it,Leg pain assistance,,Leg pain assistance,Leg pain assistance,Leg pain assistance,Leg pain assistance
208,realistic_messy,I'm really hungry could I get a cheese sandwhich,Cheese sandwich request,,Food request   <MISS>,Sandwich request   <MISS>,Cheese sandwich request,Cheese sandwich request
209,realistic_messy,Uh help My heads hurting my head's hurting.,Headache assistance,,Headache assistance,Headache assistance,Headache assistance,Headache assistance
210,realistic_messy,Has the doctor called my family yet,Family contact update,,Family contact update,Family contact update,Family contact update,Family contact update
211,realistic_messy,Could you guys send a nurse down here I'm feeling a bit dizzy and sick,Dizziness and nausea assistance,,Dizziness assistance   <MISS>,Immediate assistance request   <MISS>,Dizziness assistance   <MISS>,Dizziness and lightheadedness assistance   <MISS>
212,realistic_messy,How many doses of pain killers am i allowed to take,Medication dosage question,,Medication dosage question,Medication dosage question,Pain medication dosage question   <MISS>,Medication dosage question
213,realistic_messy,Could i get a fresh blanket and pillow please,Blanket and pillow request,,Blanket request and Pillow adjustment   <MISS>,Blanket and pillow request,Blanket pillow request   <MISS>,Blanket and pillow request
214,realistic_messy,I'm having a bit of pain in my lower back is that normal,Lower back pain question,,Back pain assistance   <MISS>,Back pain assistance   <MISS>,Back pain assistance   <MISS>,Back pain assistance   <MISS>
215,realistic_messy,Are there any updates on my condition,Condition update request,,Health check request   <MISS>,Condition update request,Condition update   <MISS>,Condition update request
216,realistic_messy,"Im getting a bit hungry, do you guys have any food or snacks i can eat",Food or snack request,,Food request   <MISS>,Food request   <MISS>,Food request   <MISS>,Food request   <MISS>
217,realistic_messy,Could you guys send a nurse down here i need help getting to the bathroom,Bathroom assistance,,Getting out of bed assistance   <MISS>,Bathroom assistance,Bathroom assistance,Bathroom assistance
218,realistic_messy,Do you guys have any pain medication i can take my leg hurts alot,Pain medication request,,Pain medication request,Pain medication request,Pain medication request,Leg pain assistance   <MISS>
219,realistic_messy,The monitor is beeping alot is it meant to do that,Monitor beeping question,,Monitor check request   <MISS>,Monitor beeping question,Monitor beeping question,Monitor beeping question
220,realistic_messy,Could i get a nurse in here im having trouble breathing,Breathing difficulty assistance,,Breathing difficulty assistance,Breathing difficulty assistance,Breathing difficulty assistance,Breathing difficulty assistance
221,realistic_messy,I'm a bit thirsty could i get a glass of water please,Water request,,Water request,Water request,Water request,Water request
222,realistic_messy,I feel very lightheaded and dizzy right now could someone come into the room,Dizziness and lightheadedness assistance,,Dizziness assistance   <MISS>,Dizziness assistance   <MISS>,Dizziness and lightheadedness assistance,Dizziness and lightheadedness assistance
223,realistic_messy,I can't breathe can someone come into the room please,Breathing difficulty assistance,,Breathing difficulty assistance,Breathing difficulty assistance,Breathing difficulty assistance,Immediate assistance request   <MISS>
224,realistic_messy,"Ran out of Mango slices, can you bring some mango slices into the room please hehe",Mango slices request,,Mango slices request,Mango slice request   <MISS>,Mango slices request,Mango slice request   <MISS>
225,realistic_messy,Excuse me can i can i have some water im feeling very thirsty,Water request,,Water request,Water request,Water request,Water request
