id,dataset,transcript,expected,groq__openai_gpt-oss-120b,groq__openai_gpt-oss-20b,groq__qwen_qwen3.8-27b
211,realistic_messy,Could you guys send a nurse down here I'm feeling a bit dizzy and sick,Dizziness and nausea assistance,Dizziness and Nausea Assistance   <MISS>,Dizziness and sick assistance   <MISS>,Dizziness and nausea assistance
212,realistic_messy,How many doses of pain killers am i allowed to take,Medication dosage question,Medication question   <MISS>,Medication timing question   <MISS>,Pain medication dosage question   <MISS>
213,realistic_messy,Could i get a fresh blanket and pillow please,Blanket and pillow request,Blanket and Pillow Request   <MISS>,Blanket and pillow request,Blanket and pillow request
214,realistic_messy,I'm having a bit of pain in my lower back is that normal,Lower back pain question,Lower Back Pain Question   <MISS>,Lower back pain question,Lower back pain question
215,realistic_messy,Are there any updates on my condition,Condition update request,Condition Update   <MISS>,Condition update   <MISS>,Condition update   <MISS>
216,realistic_messy,"Im getting a bit hungry, do you guys have any food or snacks i can eat",Food or snack request,Food request   <MISS>,Food request   <MISS>,Food request   <MISS>
217,realistic_messy,Could you guys send a nurse down here i need help getting to the bathroom,Bathroom assistance,Bathroom assistance,Bathroom assistance,Bathroom assistance
218,realistic_messy,Do you guys have any pain medication i can take my leg hurts alot,Pain medication request,Leg Pain Medication Question   <MISS>,Leg pain assistance   <MISS>,Leg pain medication request   <MISS>
219,realistic_messy,The monitor is beeping alot is it meant to do that,Monitor beeping question,Monitor Question   <MISS>,Monitor question   <MISS>,Monitor beeping question
220,realistic_messy,Could i get a nurse in here im having trouble breathing,Breathing difficulty assistance,Breathing Assistance   <MISS>,Breathing assistance   <MISS>,Breathing difficulty assistance
221,realistic_messy,I'm a bit thirsty could i get a glass of water please,Water request,Water Request   <MISS>,Water request,Water request
222,realistic_messy,I feel very lightheaded and dizzy right now could someone come into the room,Dizziness and lightheadedness assistance,Dizziness and Lightheadedness Assistance   <MISS>,Lightheadedness and dizziness Assistance   <MISS>,Dizziness and lightheadedness assistance
223,realistic_messy,I can't breathe can someone come into the room please,Breathing difficulty assistance,Breathing Assistance   <MISS>,Breathing assistance   <MISS>,Breathing difficulty assistance
224,realistic_messy,"Ran out of Mango slices, can you bring some mango slices into the room please hehe",Mango slices request,Mango Slices Request   <MISS>,Mango Slices Request   <MISS>,Mango slices request
225,realistic_messy,Excuse me can i can i have some water im feeling very thirsty,Water request,Water Request   <MISS>,Water request,Water request
